Record,Avg,CSN_0,CSN_1,CNS_2,ARP,DHCP,DNS,HTML,ICMP,TCP,UDP,Label
652,0.0877,4,4,1,0,0,0,0,0,11,0,good
653,1.0684,2,1,1,0,0,0,1,0,2,0,good
654,0.0668,8,6,1,0,0,0,0,0,8,0,good
655,0.3059,6,5,1,0,0,0,0,0,7,0,good
656,0.0263,21,12,2,0,0,0,2,0,29,0,good
657,0.1112,6,2,1,0,0,0,0,0,6,0,good
658,0.1601,14,3,2,0,0,0,0,0,21,0,good
659,0.1828,1,1,1,0,0,0,0,0,3,0,good
660,3.198,2,0,0,0,0,0,0,0,1,0,good
661,0.0141,30,28,5,0,0,0,0,0,31,0,good
662,0.1786,4,4,0,0,0,0,0,1,4,0,good
663,0.0171,15,11,2,0,0,5,0,3,22,0,good
664,0.0013,136,119,63,0,0,11,0,49,318,0,good
665,0.0045,50,33,14,0,0,4,0,21,91,0,good
666,0.0105,20,10,6,0,0,2,0,13,35,0,good
667,0.0065,22,18,18,0,0,7,0,17,53,0,good
668,0.0169,15,6,3,0,0,5,0,5,20,0,good
669,2.0904,1,0,0,1,0,0,0,0,0,0,good
670,0.367,1,1,1,1,0,0,2,0,1,0,good
671,0.3727,1,1,1,0,0,0,0,0,3,0,good
672,0.2993,3,2,1,0,0,0,0,1,6,0,good
673,0.2363,6,4,1,0,0,0,0,3,8,0,good
674,1.9214,1,1,1,0,0,0,0,0,3,0,good
675,0.1237,2,2,1,0,0,0,0,0,6,0,good
676,0.2756,4,3,3,0,0,0,0,0,14,0,good
677,0.3504,1,1,0,0,0,0,0,0,2,0,good
678,0.18,3,2,1,0,0,0,0,0,6,0,good
679,1.5463,1,1,1,0,0,0,0,0,3,0,good
680,0.1542,3,2,1,0,0,0,0,0,6,0,good
681,0.051,7,7,4,0,0,0,0,0,21,0,good
682,1.0025,1,1,1,0,0,0,1,0,2,0,good
683,1.6726,2,0,0,0,0,0,1,0,0,0,good
684,0.049,6,5,1,0,0,0,0,0,8,0,good
685,0.2692,1,1,1,1,0,0,0,0,2,0,good
686,0.1003,4,2,1,0,0,0,0,0,6,0,good
687,0.3179,5,5,1,1,0,0,0,0,5,0,good
688,0.7062,1,1,0,1,0,0,0,0,0,0,good
689,0.5006,6,5,1,0,0,0,0,0,8,0,good
690,0.8501,3,2,1,0,0,0,1,0,5,0,good
691,5.0466,1,1,0,0,0,0,1,0,1,0,good
692,0.5945,2,1,1,0,0,0,0,0,4,0,good
693,0.5097,1,1,1,0,0,0,0,0,3,0,good
694,0.091,5,3,2,0,0,0,0,0,11,0,good
695,0.0476,13,5,2,0,0,0,0,0,21,0,good
696,0.2502,2,1,1,0,0,0,0,0,4,0,good
697,0.0769,8,2,1,0,0,0,0,0,13,0,good
698,0.0371,17,2,1,0,0,0,0,0,25,0,good
699,0.02,31,3,2,0,0,0,0,0,50,0,good
700,0.0658,7,3,2,0,0,0,0,0,13,0,good
701,0.3493,2,2,1,1,0,0,2,0,2,0,good
702,1.2624,1,1,0,1,0,1,0,0,0,0,good
703,2.6677,1,1,0,0,0,2,0,0,0,0,good
704,5.0784,1,1,0,0,0,1,1,0,0,0,good
705,1.911,1,0,0,0,0,0,0,0,0,0,good
706,0.1819,1,1,1,1,0,0,0,0,1,0,good
707,0.9216,1,0,0,1,0,0,0,0,0,0,good
708,0.9217,1,0,0,0,0,0,1,0,0,0,good
709,0.5631,2,0,0,2,0,0,0,0,0,0,good
710,1.4962,1,0,0,0,0,0,1,0,0,0,good
711,5.522,2,0,0,0,0,0,1,0,1,0,good
712,0.667,1,1,1,0,0,0,0,0,3,0,good
713,0.1667,3,1,1,0,0,0,0,0,6,0,good
714,0.6694,2,1,1,1,0,0,0,0,5,0,good
715,6.3021,1,1,0,1,0,1,0,0,0,0,good
716,0.0871,4,3,2,0,0,5,3,0,2,0,good
717,0.2501,1,1,1,0,0,2,2,0,0,0,good
718,0.2504,1,1,1,0,0,2,2,0,0,0,good
719,0.2503,1,1,1,0,0,2,2,0,0,0,good
720,0.2502,1,1,1,0,0,2,2,0,0,0,good
721,0.2217,2,1,1,0,0,2,3,0,0,0,good
722,1.1341,6,5,1,0,0,1,0,0,8,0,good
723,1.1912,1,1,0,0,0,1,0,0,0,0,good
724,0.8776,1,1,1,1,0,0,0,0,1,0,good
725,1.1944,1,1,0,1,0,0,1,0,0,0,good
726,6.3187,1,1,0,1,0,0,1,0,0,0,good
727,22.4266,1,0,0,0,0,0,1,0,0,0,good
728,1.744,1,0,0,0,0,1,0,0,0,0,good
729,2.5056,1,1,0,1,0,1,0,0,0,0,good
730,5.6088,1,1,0,1,0,0,0,0,0,0,good
731,0.4177,6,5,1,0,0,0,1,0,7,0,good
732,2.9456,1,1,0,0,0,0,2,0,0,0,good
